Exam 1: Solidity Basics,,,,,,
,,,,,,
Exam Questions,a,b,c,d,Correct Answer,Explanation
Q1: What is Solidity?,A JavaScript framework,A programming language,A database management system,A version control system,b,Solidity is a programming language used for writing smart contracts on the Ethereum blockchain.
Q2: Which data type is used to store an Ethereum address?,uint,bool,address,bytes32,c,"The ""address"" data type is used to store Ethereum addresses, typically 20 bytes in length."
"Q3: What does the ""view"" keyword indicate in a function?",It modifies the contract,It returns a value,It requires Ether,It is not part of Solidity,b,"The ""view"" keyword indicates that the function is read-only and does not modify the contract's state."
Q4: How do you declare a fixed-size array of 5 integers?,int[5],int[],int[5][],int[] 5,a,"To declare a fixed-size array of 5 integers, you use the syntax ""int[5]""."
Q5: Which keyword is used to define a contract constructor?,this,init,constructor,new,c,"The ""constructor"" keyword is used to define the constructor function of a contract."
"Q6: What is the purpose of the ""fallback"" function?",It is a required function,It is called when a,It is used to receive,It is executed when,c,"The ""fallback"" function is executed when a contract receives a transaction without matching any function."
"Q7: In Solidity, what is a modifier?",A keyword for comments,A function for,A reusable piece of code,A type of data structure,c,A modifier in Solidity is a reusable piece of code that can be applied to multiple functions.
Q8: What is the visibility level of a public function?,It can be accessed by,It can be accessed by,It can only be accessed by,It can be accessed by,a,A public function can be accessed both from within the contract and externally by other contracts.
Q9: How do you access the sender of a contract call?,address(this),msg.sender,this.address,address,b,"""msg.sender"" provides the address of the sender of the current contract call."
"Q10: What is the purpose of the ""payable"" keyword?",It allows the contract,It indicates that the,It marks the contract,It specifies that the,b,"The ""payable"" keyword allows a function to receive Ether as part of a transaction."
,,,,,,
Exam 2: Smart Contract Interaction,,,,,,
,,,,,,
Exam Questions,a,b,c,d,Correct Answer,Explanation
Q1: How do you create a new instance of a contract?,new MyContract(),create MyContract,MyContract(),deploy MyContract(),a,"To create a new instance of a contract, you need to create a new instance of it using the ""new"" keyword followed by the contract name."
"Q2: What does the ""onlyOwner"" modifier typically implement?",A function to transfer,A function to restrict,A function to verify,A function to destroy,b,"The ""onlyOwner"" modifier is typically used to restrict certain functions to be executed only by the contract owner."
Q3: What are events used for in Solidity?,To store large data,To perform arithmetic,To communicate with,To transfer Ether,c,Events in Solidity are used to communicate and log important information on the blockchain for external listeners.
Q4: What is the visibility of an external function?,It can be accessed from,It can be accessed by,It can only be accessed by,It can be accessed by,a,An external function can be accessed from outside the contract and other contracts.
Q5: What is a common use of contract inheritance in Solidity?,To add functions to a,To implement polymorphism,To create new data types,To extend the functionality,b,Contract inheritance in Solidity is commonly used to implement polymorphism and share common functionality.
"Q6: What is the purpose of the ""override"" keyword in Solidity?",To create a new function,To modify an existing function,To extend a base function,To override a base function,d,"The ""override"" keyword is used to indicate that a function is intentionally overriding a function from the base contract."
"Q7: What is the purpose of the ""payable"" keyword?",It allows the contract,It indicates that the,It marks the contract,It specifies that the,b,"The ""payable"" keyword allows a function to receive Ether as part of a transaction."
"Q8: What does the ""fallback"" function typically do?",It handles unexpected,It reverts the transaction,It performs some computation,It transfers Ether,a,"The ""fallback"" function is executed when a contract receives a transaction without matching any function."
Q9: How do you access the contract balance in Solidity?,contract.balance,this.balance,address.balance,balance,b,"The ""this.balance"" expression returns the current balance of the contract in Wei."
"Q10: What is the purpose of the ""assert"" statement in Solidity?",It stops the execution,It reverts the transaction,It checks for the sender's,It ensures data integrity,a,"The ""assert"" statement"
,,,,,,
,,,,,,
,,,,,,
Exam 3: Error Handling and Security,,,,,,
Exam Questions,a,b,c,d,Correct Answer,Explanation
"Q1: What does the ""require"" function do in Solidity?",It ensures the contract,It checks for the contract,It checks for the sender's,It checks for the function's,a,"The ""require"" function is used to validate conditions and revert the transaction if the condition is not met."
"Q2: What is a common use of the ""onlyOwner"" modifier?",To restrict access to a,To prevent data overflow,To verify the transaction,To add security to a,a,"The ""onlyOwner"" modifier is commonly used to restrict access to specific functions so that only the contract owner can use them."
"Q3: What is the purpose of the ""gas"" parameter in a function?",It limits the amount of,It specifies the gas cost,It measures the gas used,It allows a function to,a,"The ""gas"" parameter in a function specifies the maximum amount of gas that can be used to execute the function."
"Q4: What is the purpose of the ""selfdestruct"" function?",It allows a contract to,It destroys the contract,It transfers Ether to,It transfers control to,b,"The ""selfdestruct"" function is used to destroy a contract and return any remaining Ether to a designated recipient."
Q5: How can you prevent re-entrancy attacks in Solidity?,"By using the ""override""","By using the ""throw""","By using the ""require""","By using the ""modifier""",c,"Re-entrancy attacks can be prevented by using the ""require"" statement to check conditions before making external calls."
"Q6: What does the ""view"" modifier indicate in a function?",It modifies the contract,It returns a value,It requires Ether,It is not part of Solidity,b,"The ""view"" modifier indicates that the function is read-only and does not modify the contract's state."
"Q7: What is the purpose of the ""pure"" modifier in Solidity?",It modifies the contract,It returns a value,It requires Ether,It restricts function,b,"The ""pure"" modifier indicates that the function is read-only and does not access the contract's state or storage."
Q8: What is a common vulnerability in Solidity smart contracts?,Data exposure,Overflow and underflow,Gas exhaustion,Data fragmentation,b,Overflow and underflow vulnerabilities can occur when arithmetic operations result in values outside the data type's range.
"Q9: What does the ""msg.value"" variable contain in Solidity?",The amount of Ether sent,The contract address,The gas used in the,The sender's address,a,"The ""msg.value"" variable contains the amount of Ether sent with the current transaction."
"Q10: What is the purpose of the ""assert"" statement in Solidity?",It stops the execution,It reverts the transaction,It checks for the sender's,It ensures data integrity,a,"The ""assert"" statement is used to check for conditions that should always be true. If the condition is false, the execution is halted."
,,,,,,
Exam 4: Contract Deployment and Events,,,,,,
,,,,,,
Exam Questions,a,b,c,d,Correct Answer,Explanation
Q1: How do you deploy a contract on the Ethereum blockchain?,Compile and run the contract,Send Ether to a contract's,Deploy the contract using,Call the constructor function,c,"To deploy a contract, you need to create a new instance of it using the ""new"" keyword followed by the contract name."
Q2: What does an Ethereum event allow a contract to do?,Emit Ether to the contract,Communicate with external,Modify the contract's state,Send Ether from the contract,b,An Ethereum event allows a contract to communicate with external listeners and log important information on the blockchain.
"Q3: What is the purpose of the ""indexed"" keyword in an event?",It ensures the event is,It optimizes the event's,It restricts the event to,It allows multiple events,b,"The ""indexed"" keyword is used to optimize searching for specific events when filtering logs on the Ethereum blockchain."
Q4: What is the visibility of a contract constructor?,It is private,It is public,It is internal,It is external,c,"The contract constructor is ""internal"" by default, meaning it can be called from within the contract and derived contracts."
Q5: How do you specify indexed parameters in an event?,By adding them to the event,"By marking them as ""indexed""",By calling the event with,By specifying them in the,b,"Indexed parameters in an event are marked as ""indexed"" to enable efficient searching for specific event occurrences."
"Q6: What is the main difference between ""internal"" and ""external"" functions in Solidity?",Internal functions can be,External functions can be,Internal functions can only,External functions can be,a,"The main difference is that ""internal"" functions can only be accessed from within the contract, while ""external"" functions can be called externally."
Q7: Which modifier is often used for functions that can receive Ether?,view,pure,payable,address(this),c,"The ""payable"" modifier allows a function to receive Ether as part of a transaction."
Q8: What is the result of dividing two integers in Solidity?,An integer,A floating-point number,A rational number,An unsigned integer,a,"When dividing two integers in Solidity, the result is truncated to an integer."
"Q9: What does the ""default"" function in a contract do?",It is called when a,It reverts the transaction,It performs some computation,It transfers Ether,a,"The ""default"" function is executed when a contract receives a transaction without matching any function."
"Q10: What is the purpose of the ""assert"" statement in Solidity?",It stops the execution,It reverts the transaction,It checks for the sender's,It ensures data integrity,a,"The ""assert"" statement is used to check for conditions that should always be true. If the condition is false, the execution is halted."
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Exam 5: Mapping and Structs,,,,,,
,,,,,,
Exam Questions,a,b,c,d,Correct Answer,Explanation
Q1: What is a mapping in Solidity?,A data structure,A mathematical function,A transaction on the,An Ethereum account address,a,A mapping in Solidity is a data structure that associates unique keys with corresponding values.
Q2: How do you define a new struct in Solidity?,struct NewStruct {},struct NewStruct,struct NewStruct(),struct NewStruct[],b,"To define a new struct in Solidity, you use the ""struct"" keyword followed by the struct name and the struct members."
Q3: How do you access a specific value in a mapping?,Using a loop,By calling the mapping key,"By using the ""view"" keyword",By passing the mapping,b,You access a specific value in a mapping by providing the mapping's key as an index in the mapping variable.
Q4: What is the primary benefit of using a struct in Solidity?,Code reusability,Data encapsulation,Enhanced security,Gas cost reduction,b,"The primary benefit of using a struct is data encapsulation, as it allows you to group related data together for better readability and maintainability."
Q5: Which keyword is used to create an instance of a struct?,new,create,MyStruct(),instanceOfStruct(),c,"To create an instance of a struct, you use the struct's name followed by parentheses."
Q6: How do you initialize a mapping in Solidity?,mappings can't be,mappings should be,mappings have a default,mappings must be,c,"Mappings in Solidity have a default value. When you access a non-existing key, it returns the default value for that data type."
"Q7: What is the purpose of the ""delete"" keyword in Solidity?",It is used to destroy a,It is used to remove data,It is used to free up,It is used to set variables,b,"The ""delete"" keyword is used to remove data from mappings and structs, setting the value to its default value (for example, 0)."
